2026-07-15 19:39:50,467 | Autotrader | INFO | Validating variable data. Modifying data, if necessary.
2026-07-15 19:39:50,468 | Autotrader | INFO | Getting cache path for AAPL_5y_1d.csv
2026-07-15 19:39:50,468 | Autotrader | INFO | Getting cache path for AAPL_5y_1d.csv
2026-07-15 19:39:50,468 | Autotrader | WARNING | Could not find cache file or file is not valid for AAPL_5y_1d.csv
2026-07-15 19:39:50,468 | Autotrader | INFO | Downloading data for AAPL
2026-07-15 19:39:51,254 | Autotrader | INFO | Flattening MultiIndex columns
2026-07-15 19:39:51,255 | Autotrader | INFO | Downloaded 1254 rows for AAPL in 0.79 seconds
2026-07-15 19:39:51,258 | Autotrader | INFO | Getting cache path for AAPL_5y_1d.csv
2026-07-15 19:39:51,258 | Autotrader | INFO | Saving cache
2026-07-15 19:39:51,268 | Autotrader | INFO | Getting cache path for AAPL_5y_1d.csv
2026-07-15 19:39:51,268 | Autotrader | INFO | Found cache file for AAPL_5y_1d.csv
2026-07-15 19:39:51,285 | Autotrader | INFO | Saved cache D:\Users\Maxwell\Documents\AutoTrader\data\cache\AAPL_5y_1d.csv (1254 rows, 119533)
2026-07-15 19:43:47,353 | Autotrader | INFO | Validating variable data. Modifying data, if necessary.
2026-07-15 19:43:47,354 | Autotrader | INFO | Getting cache path for AAPL_5y_1d.csv
2026-07-15 19:43:47,354 | Autotrader | INFO | Getting cache path for AAPL_5y_1d.csv
2026-07-15 19:43:47,354 | Autotrader | INFO | Found cache file for AAPL_5y_1d.csv
2026-07-15 19:43:47,354 | Autotrader | INFO | Getting cache path for AAPL_5y_1d.csv
2026-07-15 19:43:47,355 | Autotrader | INFO | Cache file is recent for AAPL_5y_1d.csv
2026-07-15 19:43:47,364 | Autotrader | INFO | Loaded 1254 rows.
2026-07-15 19:45:01,877 | Autotrader | INFO | Validating variable data. Modifying data, if necessary.
2026-07-15 19:45:01,877 | Autotrader | INFO | Getting cache path for AAPL_1y_5m.csv
2026-07-15 19:45:01,877 | Autotrader | INFO | Getting cache path for AAPL_1y_5m.csv
2026-07-15 19:45:01,878 | Autotrader | WARNING | Could not find cache file or file is not valid for AAPL_1y_5m.csv
2026-07-15 19:45:01,878 | Autotrader | INFO | Downloading data for AAPL
2026-07-15 19:45:02,809 | Autotrader | INFO | Flattening MultiIndex columns
2026-07-15 19:45:02,809 | Autotrader | INFO | Downloaded 0 rows for AAPL in 0.93 seconds
2026-07-15 19:45:02,809 | Autotrader | CRITICAL | No data found for AAPL.
2026-07-15 19:45:46,220 | Autotrader | INFO | Validating variable data. Modifying data, if necessary.
2026-07-15 19:45:46,221 | Autotrader | INFO | Getting cache path for AAPL_1y_1h.csv
2026-07-15 19:45:46,221 | Autotrader | INFO | Getting cache path for AAPL_1y_1h.csv
2026-07-15 19:45:46,222 | Autotrader | WARNING | Could not find cache file or file is not valid for AAPL_1y_1h.csv
2026-07-15 19:45:46,222 | Autotrader | INFO | Downloading data for AAPL
2026-07-15 19:45:47,205 | Autotrader | INFO | Flattening MultiIndex columns
2026-07-15 19:45:47,206 | Autotrader | INFO | Downloaded 1740 rows for AAPL in 0.98 seconds
2026-07-15 19:45:47,208 | Autotrader | INFO | Getting cache path for AAPL_1y_1h.csv
2026-07-15 19:45:47,209 | Autotrader | INFO | Saving cache
2026-07-15 19:45:47,244 | Autotrader | INFO | Getting cache path for AAPL_1y_1h.csv
2026-07-15 19:45:47,245 | Autotrader | INFO | Found cache file for AAPL_1y_1h.csv
2026-07-15 19:45:47,269 | Autotrader | INFO | Saved cache D:\Users\Maxwell\Documents\AutoTrader\data\cache\AAPL_1y_1h.csv (1740 rows, 184890)
2026-07-15 19:46:45,087 | Autotrader | INFO | Validating variable data. Modifying data, if necessary.
2026-07-15 19:46:45,088 | Autotrader | INFO | Getting cache path for AAPL_5y_1h.csv
2026-07-15 19:46:45,088 | Autotrader | INFO | Getting cache path for AAPL_5y_1h.csv
2026-07-15 19:46:45,088 | Autotrader | WARNING | Could not find cache file or file is not valid for AAPL_5y_1h.csv
2026-07-15 19:46:45,088 | Autotrader | INFO | Downloading data for AAPL
2026-07-15 19:46:45,972 | Autotrader | INFO | Flattening MultiIndex columns
2026-07-15 19:46:45,973 | Autotrader | INFO | Downloaded 0 rows for AAPL in 0.88 seconds
2026-07-15 19:46:45,973 | Autotrader | CRITICAL | No data found for AAPL.
2026-07-16 14:01:41,186 | Autotrader | INFO | Validating variable data. Modifying data, if necessary.
2026-07-16 14:01:41,187 | Autotrader | INFO | Getting cache path for NFLX_1y_1h.csv
2026-07-16 14:01:41,187 | Autotrader | INFO | Getting cache path for NFLX_1y_1h.csv
2026-07-16 14:01:41,188 | Autotrader | WARNING | Could not find cache file or file is not valid for NFLX_1y_1h.csv
2026-07-16 14:01:41,188 | Autotrader | INFO | Downloading data for NFLX
2026-07-16 14:01:45,247 | Autotrader | INFO | Flattening MultiIndex columns
2026-07-16 14:01:45,248 | Autotrader | INFO | Downloaded 1741 rows for NFLX in 4.06 seconds
2026-07-16 14:01:45,250 | Autotrader | INFO | Getting cache path for NFLX_1y_1h.csv
2026-07-16 14:01:45,251 | Autotrader | INFO | Saving cache
2026-07-16 14:01:45,307 | Autotrader | INFO | Getting cache path for NFLX_1y_1h.csv
2026-07-16 14:01:45,308 | Autotrader | INFO | Found cache file for NFLX_1y_1h.csv
2026-07-16 14:01:45,356 | Autotrader | INFO | Saved cache D:\Users\Maxwell\Documents\AutoTrader\data\cache\NFLX_1y_1h.csv (1741 rows, 184028)
2026-07-16 14:03:11,923 | Autotrader | INFO | Validating variable data. Modifying data, if necessary.
2026-07-16 14:03:11,924 | Autotrader | INFO | Getting cache path for NFLX_1y_1h.csv
2026-07-16 14:03:11,924 | Autotrader | INFO | Getting cache path for NFLX_1y_1h.csv
2026-07-16 14:03:11,925 | Autotrader | INFO | Found cache file for NFLX_1y_1h.csv
2026-07-16 14:03:11,925 | Autotrader | INFO | Getting cache path for NFLX_1y_1h.csv
2026-07-16 14:03:11,926 | Autotrader | INFO | Cache file is recent for NFLX_1y_1h.csv
2026-07-16 14:03:11,947 | Autotrader | INFO | Loaded 1741 rows.
2026-07-16 14:05:39,081 | Autotrader | INFO | Validating variable data. Modifying data, if necessary.
2026-07-16 14:05:39,081 | Autotrader | INFO | Getting cache path for NFLX_1y_1h.csv
2026-07-16 14:05:39,082 | Autotrader | INFO | Getting cache path for NFLX_1y_1h.csv
2026-07-16 14:05:39,082 | Autotrader | INFO | Found cache file for NFLX_1y_1h.csv
2026-07-16 14:05:39,082 | Autotrader | INFO | Getting cache path for NFLX_1y_1h.csv
2026-07-16 14:05:39,083 | Autotrader | INFO | Cache file is recent for NFLX_1y_1h.csv
2026-07-16 14:05:39,107 | Autotrader | INFO | Loaded 1741 rows.
2026-07-16 14:10:22,361 | Autotrader | INFO | Validating variable data. Modifying data, if necessary.
2026-07-16 14:10:22,362 | Autotrader | INFO | Getting cache path for NFLX_1y_1h.csv
2026-07-16 14:10:22,362 | Autotrader | INFO | Getting cache path for NFLX_1y_1h.csv
2026-07-16 14:10:22,363 | Autotrader | INFO | Found cache file for NFLX_1y_1h.csv
2026-07-16 14:10:22,363 | Autotrader | INFO | Getting cache path for NFLX_1y_1h.csv
2026-07-16 14:10:22,363 | Autotrader | INFO | Cache file is recent for NFLX_1y_1h.csv
2026-07-16 14:10:22,385 | Autotrader | INFO | Loaded 1741 rows.
2026-07-16 17:18:59,332 | Autotrader | INFO | Validating variable data. Modifying data, if necessary.
2026-07-16 17:18:59,333 | Autotrader | INFO | Getting cache path for NFLX_1y_1h.csv
2026-07-16 17:18:59,333 | Autotrader | INFO | Getting cache path for NFLX_1y_1h.csv
2026-07-16 17:18:59,334 | Autotrader | INFO | Found cache file for NFLX_1y_1h.csv
2026-07-16 17:18:59,334 | Autotrader | INFO | Getting cache path for NFLX_1y_1h.csv
2026-07-16 17:18:59,335 | Autotrader | INFO | Cache file is recent for NFLX_1y_1h.csv
2026-07-16 17:18:59,374 | Autotrader | INFO | Loaded 1741 rows.
2026-07-16 17:19:06,681 | Autotrader | INFO | Validating variable data. Modifying data, if necessary.
2026-07-16 17:19:06,681 | Autotrader | INFO | Getting cache path for STAK_1y_1h.csv
2026-07-16 17:19:06,681 | Autotrader | INFO | Getting cache path for STAK_1y_1h.csv
2026-07-16 17:19:06,682 | Autotrader | WARNING | Could not find cache file or file is not valid for STAK_1y_1h.csv
2026-07-16 17:19:06,682 | Autotrader | INFO | Downloading data for STAK
2026-07-16 17:19:10,057 | Autotrader | INFO | Flattening MultiIndex columns
2026-07-16 17:19:10,057 | Autotrader | INFO | Downloaded 1612 rows for STAK in 3.38 seconds
2026-07-16 17:19:10,060 | Autotrader | INFO | Getting cache path for STAK_1y_1h.csv
2026-07-16 17:19:10,061 | Autotrader | INFO | Saving cache
2026-07-16 17:19:10,095 | Autotrader | INFO | Getting cache path for STAK_1y_1h.csv
2026-07-16 17:19:10,095 | Autotrader | INFO | Found cache file for STAK_1y_1h.csv
2026-07-16 17:19:10,119 | Autotrader | INFO | Saved cache D:\Users\Maxwell\Documents\AutoTrader\data\cache\STAK_1y_1h.csv (1612 rows, 172024)
2026-07-16 17:19:49,740 | Autotrader | INFO | Validating variable data. Modifying data, if necessary.
2026-07-16 17:19:49,740 | Autotrader | INFO | Getting cache path for STAK_1y_1h.csv
2026-07-16 17:19:49,741 | Autotrader | INFO | Getting cache path for STAK_1y_1h.csv
2026-07-16 17:19:49,741 | Autotrader | INFO | Found cache file for STAK_1y_1h.csv
2026-07-16 17:19:49,741 | Autotrader | INFO | Getting cache path for STAK_1y_1h.csv
2026-07-16 17:19:49,741 | Autotrader | INFO | Cache file is recent for STAK_1y_1h.csv
2026-07-16 17:19:49,761 | Autotrader | INFO | Loaded 1612 rows.
2026-07-16 17:23:19,628 | Autotrader | INFO | Validating variable data. Modifying data, if necessary.
2026-07-16 17:23:19,628 | Autotrader | INFO | Getting cache path for STAK_1y_1h.csv
2026-07-16 17:23:19,628 | Autotrader | INFO | Getting cache path for STAK_1y_1h.csv
2026-07-16 17:23:19,629 | Autotrader | INFO | Found cache file for STAK_1y_1h.csv
2026-07-16 17:23:19,629 | Autotrader | INFO | Getting cache path for STAK_1y_1h.csv
2026-07-16 17:23:19,630 | Autotrader | INFO | Cache file is recent for STAK_1y_1h.csv
2026-07-16 17:23:19,648 | Autotrader | INFO | Loaded 1612 rows.
2026-07-16 17:29:02,576 | Autotrader | INFO | Validating variable data. Modifying data, if necessary.
2026-07-16 17:29:02,576 | Autotrader | INFO | Getting cache path for STAK_1y_1h.csv
2026-07-16 17:29:02,576 | Autotrader | INFO | Getting cache path for STAK_1y_1h.csv
2026-07-16 17:29:02,577 | Autotrader | INFO | Found cache file for STAK_1y_1h.csv
2026-07-16 17:29:02,577 | Autotrader | INFO | Getting cache path for STAK_1y_1h.csv
2026-07-16 17:29:02,577 | Autotrader | INFO | Cache file is recent for STAK_1y_1h.csv
2026-07-16 17:29:02,600 | Autotrader | INFO | Loaded 1612 rows.
2026-07-16 17:29:52,967 | Autotrader | INFO | Validating variable data. Modifying data, if necessary.
2026-07-16 17:29:52,968 | Autotrader | INFO | Getting cache path for AAPL_1y_1h.csv
